# 1D Heat Diffusion Solution
# Step:      100
# Time:     0.400000
x,u_numerical,u_analytical,error
  0.00000000,  0.00000000,  0.00000000,  0.000000E+00
  0.01000000,  0.03019473,  0.03019487, -1.372847E-07
  0.02000000,  0.06035967,  0.06035994, -2.744339E-07
  0.03000000,  0.09046504,  0.09046545, -4.113123E-07
  0.04000000,  0.12048112,  0.12048167, -5.477848E-07
  0.05000000,  0.15037831,  0.15037900, -6.837167E-07
  0.06000000,  0.18012710,  0.18012792, -8.189738E-07
  0.07000000,  0.20969812,  0.20969907, -9.534227E-07
  0.08000000,  0.23906219,  0.23906328, -1.086931E-06
  0.09000000,  0.26819034,  0.26819156, -1.219366E-06
  0.10000000,  0.29705381,  0.29705516, -1.350598E-06
  0.11000000,  0.32562413,  0.32562561, -1.480497E-06
  0.12000000,  0.35387310,  0.35387471, -1.608935E-06
  0.13000000,  0.38177284,  0.38177457, -1.735785E-06
  0.14000000,  0.40929581,  0.40929767, -1.860922E-06
  0.15000000,  0.43641486,  0.43641685, -1.984223E-06
  0.16000000,  0.46310322,  0.46310533, -2.105566E-06
  0.17000000,  0.48933455,  0.48933678, -2.224830E-06
  0.18000000,  0.51508297,  0.51508532, -2.341899E-06
  0.19000000,  0.54032307,  0.54032552, -2.456657E-06
  0.20000000,  0.56502993,  0.56503250, -2.568990E-06
  0.21000000,  0.58917917,  0.58918185, -2.678788E-06
  0.22000000,  0.61274697,  0.61274975, -2.785942E-06
  0.23000000,  0.63571006,  0.63571295, -2.890347E-06
  0.24000000,  0.65804578,  0.65804877, -2.991900E-06
  0.25000000,  0.67973208,  0.67973517, -3.090500E-06
  0.26000000,  0.70074758,  0.70075076, -3.186050E-06
  0.27000000,  0.72107152,  0.72107480, -3.278456E-06
  0.28000000,  0.74068385,  0.74068722, -3.367626E-06
  0.29000000,  0.75956521,  0.75956867, -3.453473E-06
  0.30000000,  0.77769698,  0.77770051, -3.535911E-06
  0.31000000,  0.79506125,  0.79506486, -3.614860E-06
  0.32000000,  0.81164089,  0.81164458, -3.690242E-06
  0.33000000,  0.82741954,  0.82742331, -3.761982E-06
  0.34000000,  0.84238163,  0.84238546, -3.830009E-06
  0.35000000,  0.85651239,  0.85651629, -3.894257E-06
  0.36000000,  0.86979788,  0.86980183, -3.954661E-06
  0.37000000,  0.88222498,  0.88222899, -4.011163E-06
  0.38000000,  0.89378143,  0.89378549, -4.063706E-06
  0.39000000,  0.90445582,  0.90445993, -4.112239E-06
  0.40000000,  0.91423763,  0.91424178, -4.156713E-06
  0.41000000,  0.92311719,  0.92312139, -4.197085E-06
  0.42000000,  0.93108575,  0.93108999, -4.233315E-06
  0.43000000,  0.93813544,  0.93813971, -4.265368E-06
  0.44000000,  0.94425931,  0.94426360, -4.293211E-06
  0.45000000,  0.94945130,  0.94945562, -4.316817E-06
  0.46000000,  0.95370630,  0.95371064, -4.336163E-06
  0.47000000,  0.95702011,  0.95702446, -4.351230E-06
  0.48000000,  0.95938945,  0.95939381, -4.362002E-06
  0.49000000,  0.96081199,  0.96081636, -4.368470E-06
  0.50000000,  0.96128633,  0.96129070, -4.370627E-06
  0.51000000,  0.96081199,  0.96081636, -4.368470E-06
  0.52000000,  0.95938945,  0.95939381, -4.362002E-06
  0.53000000,  0.95702011,  0.95702446, -4.351230E-06
  0.54000000,  0.95370630,  0.95371064, -4.336163E-06
  0.55000000,  0.94945130,  0.94945562, -4.316817E-06
  0.56000000,  0.94425931,  0.94426360, -4.293211E-06
  0.57000000,  0.93813544,  0.93813971, -4.265368E-06
  0.58000000,  0.93108575,  0.93108999, -4.233315E-06
  0.59000000,  0.92311719,  0.92312139, -4.197085E-06
  0.60000000,  0.91423763,  0.91424178, -4.156713E-06
  0.61000000,  0.90445582,  0.90445993, -4.112239E-06
  0.62000000,  0.89378143,  0.89378549, -4.063706E-06
  0.63000000,  0.88222498,  0.88222899, -4.011163E-06
  0.64000000,  0.86979788,  0.86980183, -3.954661E-06
  0.65000000,  0.85651239,  0.85651629, -3.894257E-06
  0.66000000,  0.84238163,  0.84238546, -3.830009E-06
  0.67000000,  0.82741954,  0.82742331, -3.761982E-06
  0.68000000,  0.81164089,  0.81164458, -3.690242E-06
  0.69000000,  0.79506125,  0.79506486, -3.614860E-06
  0.70000000,  0.77769698,  0.77770051, -3.535911E-06
  0.71000000,  0.75956521,  0.75956867, -3.453473E-06
  0.72000000,  0.74068385,  0.74068722, -3.367626E-06
  0.73000000,  0.72107152,  0.72107480, -3.278456E-06
  0.74000000,  0.70074758,  0.70075076, -3.186050E-06
  0.75000000,  0.67973208,  0.67973517, -3.090500E-06
  0.76000000,  0.65804578,  0.65804877, -2.991900E-06
  0.77000000,  0.63571006,  0.63571295, -2.890347E-06
  0.78000000,  0.61274697,  0.61274975, -2.785942E-06
  0.79000000,  0.58917917,  0.58918185, -2.678788E-06
  0.80000000,  0.56502993,  0.56503250, -2.568990E-06
  0.81000000,  0.54032307,  0.54032552, -2.456657E-06
  0.82000000,  0.51508297,  0.51508532, -2.341899E-06
  0.83000000,  0.48933455,  0.48933678, -2.224830E-06
  0.84000000,  0.46310322,  0.46310533, -2.105566E-06
  0.85000000,  0.43641486,  0.43641685, -1.984223E-06
  0.86000000,  0.40929581,  0.40929767, -1.860922E-06
  0.87000000,  0.38177284,  0.38177457, -1.735785E-06
  0.88000000,  0.35387310,  0.35387471, -1.608935E-06
  0.89000000,  0.32562413,  0.32562561, -1.480497E-06
  0.90000000,  0.29705381,  0.29705516, -1.350598E-06
  0.91000000,  0.26819034,  0.26819156, -1.219366E-06
  0.92000000,  0.23906219,  0.23906328, -1.086931E-06
  0.93000000,  0.20969812,  0.20969907, -9.534227E-07
  0.94000000,  0.18012710,  0.18012792, -8.189738E-07
  0.95000000,  0.15037831,  0.15037900, -6.837167E-07
  0.96000000,  0.12048112,  0.12048167, -5.477848E-07
  0.97000000,  0.09046504,  0.09046545, -4.113123E-07
  0.98000000,  0.06035967,  0.06035994, -2.744339E-07
  0.99000000,  0.03019473,  0.03019487, -1.372847E-07
  1.00000000,  0.00000000,  0.00000000, -1.177242E-16
