# 1D Heat Diffusion Solution
# Step:      250
# Time:     1.000000
x,u_numerical,u_analytical,error
  0.00000000,  0.00000000,  0.00000000,  0.000000E+00
  0.01000000,  0.02845839,  0.02845871, -3.234765E-07
  0.02000000,  0.05688870,  0.05688934, -6.466339E-07
  0.03000000,  0.08526286,  0.08526383, -9.691530E-07
  0.04000000,  0.11355288,  0.11355417, -1.290716E-06
  0.05000000,  0.14173084,  0.14173245, -1.611005E-06
  0.06000000,  0.16976892,  0.16977085, -1.929704E-06
  0.07000000,  0.19763947,  0.19764172, -2.246498E-06
  0.08000000,  0.22531497,  0.22531753, -2.561076E-06
  0.09000000,  0.25276811,  0.25277098, -2.873126E-06
  0.10000000,  0.27997179,  0.27997498, -3.182341E-06
  0.11000000,  0.30689918,  0.30690267, -3.488415E-06
  0.12000000,  0.33352370,  0.33352749, -3.791047E-06
  0.13000000,  0.35981907,  0.35982316, -4.089937E-06
  0.14000000,  0.38575934,  0.38576373, -4.384791E-06
  0.15000000,  0.41131891,  0.41132359, -4.675318E-06
  0.16000000,  0.43647257,  0.43647753, -4.961230E-06
  0.17000000,  0.46119547,  0.46120071, -5.242247E-06
  0.18000000,  0.48546323,  0.48546875, -5.518090E-06
  0.19000000,  0.50925190,  0.50925769, -5.788488E-06
  0.20000000,  0.53253800,  0.53254405, -6.053172E-06
  0.21000000,  0.55529855,  0.55530486, -6.311884E-06
  0.22000000,  0.57751108,  0.57751764, -6.564366E-06
  0.23000000,  0.59915368,  0.59916049, -6.810370E-06
  0.24000000,  0.62020499,  0.62021204, -7.049652E-06
  0.25000000,  0.64064423,  0.64065151, -7.281978E-06
  0.26000000,  0.66045123,  0.66045874, -7.507117E-06
  0.27000000,  0.67960645,  0.67961417, -7.724848E-06
  0.28000000,  0.69809098,  0.69809891, -7.934955E-06
  0.29000000,  0.71588657,  0.71589471, -8.137231E-06
  0.30000000,  0.73297567,  0.73298400, -8.331477E-06
  0.31000000,  0.74934142,  0.74934993, -8.517501E-06
  0.32000000,  0.76496765,  0.76497635, -8.695119E-06
  0.33000000,  0.77983895,  0.77984782, -8.864156E-06
  0.34000000,  0.79394065,  0.79394967, -9.024445E-06
  0.35000000,  0.80725882,  0.80726800, -9.175828E-06
  0.36000000,  0.81978033,  0.81978965, -9.318155E-06
  0.37000000,  0.83149281,  0.83150226, -9.451287E-06
  0.38000000,  0.84238471,  0.84239428, -9.575091E-06
  0.39000000,  0.85244528,  0.85245497, -9.689446E-06
  0.40000000,  0.86166458,  0.86167438, -9.794239E-06
  0.41000000,  0.87003353,  0.87004342, -9.889366E-06
  0.42000000,  0.87754386,  0.87755383, -9.974733E-06
  0.43000000,  0.88418816,  0.88419821, -1.005026E-05
  0.44000000,  0.88995987,  0.88996999, -1.011586E-05
  0.45000000,  0.89485330,  0.89486347, -1.017148E-05
  0.46000000,  0.89886362,  0.89887383, -1.021707E-05
  0.47000000,  0.90198686,  0.90199712, -1.025257E-05
  0.48000000,  0.90421996,  0.90423024, -1.027795E-05
  0.49000000,  0.90556070,  0.90557099, -1.029319E-05
  0.50000000,  0.90600776,  0.90601806, -1.029827E-05
  0.51000000,  0.90556070,  0.90557099, -1.029319E-05
  0.52000000,  0.90421996,  0.90423024, -1.027795E-05
  0.53000000,  0.90198686,  0.90199712, -1.025257E-05
  0.54000000,  0.89886362,  0.89887383, -1.021707E-05
  0.55000000,  0.89485330,  0.89486347, -1.017148E-05
  0.56000000,  0.88995987,  0.88996999, -1.011586E-05
  0.57000000,  0.88418816,  0.88419821, -1.005026E-05
  0.58000000,  0.87754386,  0.87755383, -9.974733E-06
  0.59000000,  0.87003353,  0.87004342, -9.889366E-06
  0.60000000,  0.86166458,  0.86167438, -9.794239E-06
  0.61000000,  0.85244528,  0.85245497, -9.689446E-06
  0.62000000,  0.84238471,  0.84239428, -9.575091E-06
  0.63000000,  0.83149281,  0.83150226, -9.451287E-06
  0.64000000,  0.81978033,  0.81978965, -9.318155E-06
  0.65000000,  0.80725882,  0.80726800, -9.175828E-06
  0.66000000,  0.79394065,  0.79394967, -9.024445E-06
  0.67000000,  0.77983895,  0.77984782, -8.864156E-06
  0.68000000,  0.76496765,  0.76497635, -8.695119E-06
  0.69000000,  0.74934142,  0.74934993, -8.517501E-06
  0.70000000,  0.73297567,  0.73298400, -8.331477E-06
  0.71000000,  0.71588657,  0.71589471, -8.137231E-06
  0.72000000,  0.69809098,  0.69809891, -7.934955E-06
  0.73000000,  0.67960645,  0.67961417, -7.724848E-06
  0.74000000,  0.66045123,  0.66045874, -7.507117E-06
  0.75000000,  0.64064423,  0.64065151, -7.281978E-06
  0.76000000,  0.62020499,  0.62021204, -7.049652E-06
  0.77000000,  0.59915368,  0.59916049, -6.810370E-06
  0.78000000,  0.57751108,  0.57751764, -6.564366E-06
  0.79000000,  0.55529855,  0.55530486, -6.311884E-06
  0.80000000,  0.53253800,  0.53254405, -6.053172E-06
  0.81000000,  0.50925190,  0.50925769, -5.788488E-06
  0.82000000,  0.48546323,  0.48546875, -5.518090E-06
  0.83000000,  0.46119547,  0.46120071, -5.242247E-06
  0.84000000,  0.43647257,  0.43647753, -4.961230E-06
  0.85000000,  0.41131891,  0.41132359, -4.675318E-06
  0.86000000,  0.38575934,  0.38576373, -4.384791E-06
  0.87000000,  0.35981907,  0.35982316, -4.089937E-06
  0.88000000,  0.33352370,  0.33352749, -3.791047E-06
  0.89000000,  0.30689918,  0.30690267, -3.488415E-06
  0.90000000,  0.27997179,  0.27997498, -3.182341E-06
  0.91000000,  0.25276811,  0.25277098, -2.873126E-06
  0.92000000,  0.22531497,  0.22531753, -2.561076E-06
  0.93000000,  0.19763947,  0.19764172, -2.246498E-06
  0.94000000,  0.16976892,  0.16977085, -1.929704E-06
  0.95000000,  0.14173084,  0.14173245, -1.611005E-06
  0.96000000,  0.11355288,  0.11355417, -1.290716E-06
  0.97000000,  0.08526286,  0.08526383, -9.691530E-07
  0.98000000,  0.05688870,  0.05688934, -6.466339E-07
  0.99000000,  0.02845839,  0.02845871, -3.234765E-07
  1.00000000,  0.00000000,  0.00000000, -1.109552E-16
